,0,1,2,3,4,5,6,7,Y
24158,2.091528934,1.771803871,-1.15140221,-0.809197825,-2.37208919,1.326352688,2.001174793,0.351785021,0
24160,0.116841685,-0.104712314,-0.095324245,-1.104448251,1.968332391,0.351418474,0.388567342,-0.635714204,0
24161,2.477206052,-1.42294444,1.658484638,-0.812310572,-2.837225089,0.631135543,-0.783229249,-0.331035107,0
24163,0.117254444,0.343950061,0.136378157,0.023297994,1.463813372,0.707023243,-0.349616233,0.753709456,0
24164,-0.049377139,-0.395869354,1.891742513,0.37130268,0.868254232,2.668578714,-0.5360505,1.181415812,0
24165,-2.778040057,-2.097583622,-2.732800163,-0.249224676,1.314452714,0.911782445,-0.971315622,0.239928874,0
24167,1.447208208,0.524942871,6.549460642,0.421793563,-5.317833922,-0.811435887,2.67122959,-0.498596793,0
24168,-0.455548087,-1.900361532,0.132540502,-0.084037609,-1.448403539,1.321354151,-0.311314835,-1.176840876,0
24169,-1.033268588,-0.055306035,0.02143983,0.317017926,0.644713408,1.446528829,-1.630710995,-0.577251208,0
24171,2.924742152,0.430342587,-3.060903981,0.235318916,-1.583014435,0.701926392,-0.20648807,0.429134437,0
24175,-1.708340483,0.095824142,-1.65657945,-0.850060636,1.199102397,-0.010460699,1.031047272,0.373848419,0
24176,3.948524034,1.192256131,-2.067163185,0.202428212,-2.661155281,1.045908199,-0.723586527,1.329202047,0
24177,-0.411722715,-0.677797463,1.324473393,-0.425487937,-0.049823086,1.008803499,0.261922364,-1.516018807,0
24179,1.393475213,-1.177741932,-1.123194165,1.308935947,2.283747029,-0.942553708,1.189337336,-0.466467799,0
24180,0.094552859,-0.454561713,1.580000353,0.049012377,1.134291701,-0.170043587,-1.181815293,-0.214153396,0
24181,0.857779955,2.516867294,0.855384916,0.908877576,-2.00557694,1.224017225,0.184701151,0.86393569,0
24182,-0.139133256,0.614342323,-0.331431911,1.791466187,0.579640148,0.626793648,-0.270055982,0.623856936,0
24187,1.502945498,2.270442011,-0.428960699,-1.077320521,-2.321551918,1.969425817,0.410588962,-0.724307075,0
24188,0.27384605,2.243355034,-0.30720694,0.230188176,-1.761118253,1.695032398,0.350314331,-1.377075637,0
24189,-0.915140332,0.232668226,-1.410915566,0.359509345,1.308010493,-0.762787054,-0.325445801,-0.504843574,0
24190,1.185532377,0.76646202,-1.765527025,0.601681065,-0.609295895,1.015864034,0.753032345,1.139703922,0
24191,-1.681410615,-1.424898548,1.216016993,-0.469255494,-0.044006803,0.559097935,-0.198583178,0.206375908,0
24193,-0.047416668,1.097304361,0.309326309,0.641465654,0.257931549,0.487453465,1.261250144,-0.460972343,0
24194,0.388110732,-0.4766667,1.095156485,1.59568632,-0.893615238,2.491341801,1.015721754,-1.068374665,0
24196,0.500607486,0.299407392,0.284918516,-1.114654811,-0.388032507,2.087156699,1.416316325,-0.701181426,0
24198,2.537429873,-1.45363144,-2.736707144,-1.623733024,1.523436374,-0.794638584,1.087599575,-0.477306227,0
24199,-1.387037841,-0.06482095,-0.956962402,0.907192978,0.919431723,3.498563378,-0.037746622,-0.250507691,0
24200,0.169368917,-1.304013854,2.717613464,0.153320267,-2.682486234,0.723308437,-0.762839301,1.450126695,0
24201,0.267501552,1.796568068,1.727887439,-0.778905043,-0.221682692,0.728967044,-0.591150836,0.471275096,0
24203,0.496305377,0.17874319,1.725206677,-0.040922481,1.991118626,0.64242594,-1.296687383,-0.329182677,0
24207,1.631359637,1.1635433,-0.19391875,0.40340248,-0.690618921,0.882070753,0.090636224,0.47446819,0
24208,1.888133691,0.936501984,-0.129119048,-0.990541804,-0.507539176,0.624411215,0.455099556,-0.254338455,0
24211,-1.987077952,2.619531797,1.394573647,0.828023221,-0.543590529,1.675683333,-1.681153939,-1.243620247,0
24213,-1.509124268,1.327922971,0.269044798,0.763576816,0.593269195,1.038070804,1.203994633,-1.585147405,0
24214,0.485424475,1.113555072,4.624857317,-0.516716342,-2.608083656,-0.170177998,-0.98803898,1.595510035,0
24216,1.6884152,-1.831022504,-2.586262953,1.142356446,2.494667913,-0.961854969,-0.069488347,-1.578060722,0
24217,0.878938611,-0.14773566,0.089895674,-0.378078381,-0.608028995,0.432612841,0.289398515,0.530689879,0
24219,-2.225983248,-1.178684621,-0.197862071,0.281809699,0.02867505,0.934598024,0.43395333,0.645158558,0
24220,0.270277181,-0.588189378,-0.177689723,-0.153053007,-0.981960828,-0.426399727,0.520077586,-1.284479966,0
24223,-2.498097613,2.362630295,0.97660933,-0.0156303,-0.121205787,1.414949165,0.289283087,-0.701061988,0
24225,-0.426128002,1.20633915,-0.540837916,0.116966559,0.27127524,2.011495684,0.934827888,2.058061766,0
24226,-2.450870248,-3.552110994,1.527031414,-0.150406054,-1.865427584,0.842547993,-0.46466087,-0.265213868,0
24227,0.673077773,1.264883149,2.637291544,-0.194815411,-1.572319951,-2.287987927,-1.002272613,-0.278542583,0
24228,0.296692686,1.288825423,-0.743865825,0.693923482,1.421946865,-1.333137271,-1.583945365,0.375890677,0
24229,0.918153933,-1.408069887,3.081954789,0.197084247,0.108717701,0.526659711,2.065732166,0.835597474,0
